"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 28 11:40:25 PET 2019","Sun Jul 28 11:40:29 PET 2019","3679","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search two ""Húngara porteña"" in menu search field","I search two ""Húngara porteña"" in menu search field",""
"passed","Fri Jul 26 23:56:29 PET 2019","Fri Jul 26 23:56:30 PET 2019","1636","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search ""Diamanta sin azúcar"" in menu search field","I search ""Diamanta sin azúcar"" in menu search field",""
"passed","Mon Jul 29 21:00:53 PET 2019","Mon Jul 29 21:01:08 PET 2019","15009","","Search restaurants by address and restaurant Search gourmet restaurants using an address name","","Search restaurants by address and restaurant Search gourmet restaurants using an address name","Pause","Pause",""
"broken","Mon Jul 22 11:24:05 PET 2019","Mon Jul 22 11:24:05 PET 2019","1","","Search restaurants Search restaurants using both an address and a restaurant name","","Search restaurants Search restaurants using both an address and a restaurant name","I enter ""La Pasiva"" as the restaurant","I enter ""La Pasiva"" as the restaurant",""
"passed","Sun Jul 28 11:40:29 PET 2019","Sun Jul 28 11:40:29 PET 2019","18","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I verify the order appears correctly in “Mi pedido” section","I verify the order appears correctly in “Mi pedido” section",""
"broken","Mon Jul 22 09:47:35 PET 2019","Mon Jul 22 09:47:35 PET 2019","1","","Oreder a menu Order a menu","","Oreder a menu Order a menu","I select ""Facal"" restaurant","I select ""Facal"" restaurant",""
"passed","Sun Jul 28 11:40:12 PET 2019","Sun Jul 28 11:40:12 PET 2019","520","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I enter an address and a restaurant","I enter an address and a restaurant",""
"broken","Sat Jul 27 12:11:21 PET 2019","Sat Jul 27 12:11:21 PET 2019","1","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I print the price of the order","I print the price of the order",""
"passed","Mon Jul 29 21:15:49 PET 2019","Mon Jul 29 21:16:22 PET 2019","33138","","Search restaurants by address and restaurant Search gourmet restaurants using an address name","","Search restaurants by address and restaurant Search gourmet restaurants using an address name","I confirm the address location","I confirm the address location",""
"broken","Mon Jul 22 11:24:05 PET 2019","Mon Jul 22 11:24:05 PET 2019","1","","Search restaurants Search restaurants using both an address and a restaurant name","","Search restaurants Search restaurants using both an address and a restaurant name","I click on the Search button","I click on the Search button",""
"passed","Sun Jul 28 21:04:48 PET 2019","Sun Jul 28 21:04:49 PET 2019","691","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","I verify all restaurants have the word “Gourmet” in their name","I verify all restaurants have the word “Gourmet” in their name",""
"broken","Mon Jul 22 09:47:35 PET 2019","Mon Jul 22 09:47:35 PET 2019","1","","Oreder a menu Order a menu","","Oreder a menu Order a menu","I change the amount of ""Ensalada de frutas"" to ""2""","I change the amount of ""Ensalada de frutas"" to ""2""",""
"passed","Mon Jul 29 21:15:47 PET 2019","Mon Jul 29 21:15:49 PET 2019","2145","","Search restaurants by address and restaurant Search gourmet restaurants using an address name","","Search restaurants by address and restaurant Search gourmet restaurants using an address name","I choose an address option","I choose an address option",""
"passed","Sun Jul 28 21:04:49 PET 2019","Sun Jul 28 21:04:54 PET 2019","5007","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search gourmet restaurants using both an address and a restaurant name","Pause","Pause",""
"passed","Mon Jul 22 11:23:56 PET 2019","Mon Jul 22 11:24:05 PET 2019","8872","","Search restaurants Search restaurants using both an address and a restaurant name","","Search restaurants Search restaurants using both an address and a restaurant name","I am on the home page","I am on the home page",""
"skipped","Wed Jul 24 17:53:25 PET 2019","Wed Jul 24 17:53:25 PET 2019","1","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I place two orders from the chosen menu","I place two orders from the chosen menu",""
"passed","Sun Jul 28 11:31:36 PET 2019","Sun Jul 28 11:31:40 PET 2019","3719","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","","Search restaurants by address and restaurant Search restaurants using both an address and a restaurant name","I search two ""Pizzeta tranqui (32 cm)"" in menu search field","I search two ""Pizzeta tranqui (32 cm)"" in menu search field",""
